Photo,Description,Article Nr.,Buyer's Code,UOM,W,D,H,SW,SH,SD,AH,FRAME COMPOSITION,WEAVING COMPOSITION,USD SELLING PRICE,PACKING DIMENTION (CM),NETT WEIGHT,GROSS WEIGHT,CBM,CUSHION,GLASS / MIRROR,ACCESSORIES,PICTURE OF ACCESSORIES,LEATHER,PICTURE OF LEATHER,FINISHING STEPS,FINISHING COLOR OF ITEM,HARGA SUPPLIER / BASKETS
,Fauteuil Long Beach zwart,18339 BLKNAT,,CM,71,71,80,,,,,"Manao Polesh,Square webbing",,84,84x74x75,7.42,10.35,0.4662,,,,,,,,"Black, Natural webbing",
,Fauteuil Long Beach naturel,18339 NAT,,CM,71,71,80,,,,,"Manao Polesh,Square webbing",,84,84x74x76,7.42,10.35,0.4662,,,,,,,,Natural,
,Daybed zonder kussen,19157,,CM,188,69,75,,,,," Rattan 1/2 polesh,Jawit, skin Lasio ",,132,191x84x78,19.80,24.70, 1.25 ,,,,,,,,Natural,
,GUCI BASKET XL SET 2,2033093,,CM,60,60,50,,,,,"Rattan core , Lombokan Grade B, Lasio",,83,63x63x53,4.80,6.95,0.21,,,,,,,,Natural,
,BOTTLE FISH BASKET,2033079,,CM,58,58,53,,,,,"Banana Fiber , Seagrass Rope , iron frame",,37,,2.70,3.80,0.17,,,,,,,,Natural,
,JAWIT DÉCOR BASKET,2033104,,CM,50,50,58,,,,,Rattan Jawit / skin,,31,53x53x52,4.20,6.70,0.146068,,,,,,,,Natural,
,WEBBING BAR TABLE,,,CM,80,32,90,,,,,"Mahogany , square weaving",,66,,6.60,7.85,0.17,,,,,,,,Black and natural as picture,
,OVALE WEBBING LOUNGE CHAIR,2031107,,CM,86,81,76,,,,,"Rattan 1/2 polish , square cane weaving , rattan core",Natural,81,,7.60,10.85,0.52,,,,,,,,Natural,
,HAWAIAN LOUNGE CHAIR,2031108,,CM,71,84,79,,,,,Rattan 1/2 polish,,79,,12.70,15.80,0.53,,,,,,,,Natural,
,LASIO LOUNGE CHAIR,2031109,,CM,67,72,70,,,,,"Rattan Lasio Skin , Iron Frame",,83,,9.20,11.40,0.42,,,,,,,,Natural,
,PRETZEL CHAIR ,,,CM,71,84,79,,,,,Rattan 1/2 polish,,112,88x75x84,12.70,15.80,0.5544,,,,,,,,Natural,

